"Ya en calendario","...2","Prioridad","Nombre","Alcaldía","cve_col","Grupo Electoral","Poblacion 2020","Colonias operativas","Grado Marginación","Nivel Desarrollo Social","Indice Desarrollo Social","Postes Totales","Postes C5","WiFi Barrio","Unidad habitacional","Unidad habitacional en programa WiFi","Razon","Asentamiento irregular","Fecha","visita"
1,NA,"P1","LA JOYA","IZTAPALAPA","07-109","Voto duro Morena",1647,0.205875,5,"Muy Bajo",0.75003545,2,2,0,0,0,823.5,0,"lunes 19 de diciembre",NA
1,NA,"P1","JOSE LOPEZ PORTILLO I","IZTAPALAPA","07-275","Voto duro Morena",11184,1.398,5,"Muy Bajo",0.76992552264,14,14,0,1,0,798.857142857143,0,"lunes 19 de diciembre",NA
1,NA,"P1","ARBOLEDAS","IZTAPALAPA","07-010","Voto duro Morena",2391,0.298875,5,"Muy Bajo",0.75754991111,3,3,0,0,0,797,0,"martes 20 de diciembre",NA
1,NA,"P1","SAN ANTONIO (BARR)","IZTAPALAPA","07-177","Voto duro Morena",14710,1.83875,5,"Muy Bajo",0.76849642262,20,20,0,1,1,735.5,0,"lunes 19 de diciembre",NA
1,NA,"P1","SANTA CRUZ MEYEHUALCO (PBLO)","IZTAPALAPA","07-206","Voto duro Morena",13272,1.659,5,"Muy Bajo",0.76056264756,19,19,0,1,1,698.526315789474,0,"viernes 16 de diciembre",NA
1,NA,"P1","EL TRIANGULO","IZTAPALAPA","07-063","Voto duro Morena",7063,0.882875,5,"Muy Bajo",0.6675493579,1,1,0,0,0,7063,0,"lunes 17 de octubre","JDG"
1,NA,"P1","SANTIAGO ACAHUALTEPEC (PBLO)","IZTAPALAPA","07-219","Voto duro Morena",7369,0.921125,5,"Muy Bajo",0.75650290385,11,11,0,1,1,669.909090909091,0,"martes 1 de noviembre",NA
1,NA,"P1","SANTA MARTHA ACATITLA_(PBLO)","IZTAPALAPA","07-217","Voto duro Morena",14341,1.792625,5,"Muy Bajo",0.77637757143,23,23,0,1,0,623.521739130435,0,"martes 1 de noviembre",NA
1,NA,"P2","GUADALUPE (BARR)","IZTAPALAPA","07-087","Voto duro Morena",2302,0.28775,4,"Muy Bajo",0.76581605,4,4,0,0,0,575.5,0,"viernes 16 de diciembre",NA
1,NA,"P1","SANTA BARBARA (BARR) II","IZTAPALAPA","07-316","Volátiles",4831,0.603875,5,"Muy Bajo",0.77175751539,0,0,0,1,1,NA,0,"jueves 15 de diciembre",NA
